Comp,BID,SID,CID,rg,asph,acyl,anis,num dom,seg,avgsize,maxsize,eig1,eig2,eig3,eig4,eig5,eig6,eig7,eig8,eig9,eig10,n_eig
0.1,0.2,1,3,9.860819991,31.1809023,18.25718967,0.139909184,1,12,388,388,0.001383512,0.00206077,0.003774327,0.006275441,0.007080675,0.008444403,0.01043655,0.011790684,0.01242398,0.01445738,6.92E-05
0.1,0.2,1,4,15.02929669,116.3066521,54.96293588,0.318501134,9,114,31.77777778,111,0.000191456,0.000536045,0.001187545,0.001551114,0.003904938,0.004432281,0.004802099,0.008550425,0.009755944,0.01393911,9.57E-06
0.1,0.2,1,5,12.55502371,89.70615157,37.66417024,0.369563962,3,46,118,181,0.000302153,0.000962439,0.003693353,0.005443773,0.00568837,0.008654743,0.01039815,0.010786813,0.011107996,0.015834396,1.51E-05
0.1,0.2,1,6,15.2571245,140.6530119,56.10190863,0.403717584,5,71,65.8,178,0.000192403,0.000917499,0.001515273,0.001928712,0.004853016,0.005303302,0.006686222,0.009042662,0.012361563,0.014061366,9.62E-06
0.1,0.2,1,7,14.48127367,130.1744711,51.97033764,0.431440943,2,33,183.5,303,0.000275914,0.001034296,0.002837023,0.005150283,0.005823668,0.007505853,0.008649636,0.009324781,0.010134696,0.012384766,1.45E-05
0.1,0.2,1,8,13.15297034,95.4787747,39.96359879,0.347296434,6,60,56.66666667,199,0.000218891,0.001347676,0.00168167,0.002951579,0.004667407,0.005897614,0.007011802,0.011827088,0.013548133,0.013922365,1.09E-05
0.1,0.2,1,9,11.9689981,62.74657853,31.62422433,0.243731937,2,40,180,338,0.000590808,0.001017607,0.002067091,0.002846677,0.00568199,0.007026068,0.008687837,0.011179948,0.012152459,0.014531814,2.95E-05
0.1,0.2,1,10,13.12864203,84.43876328,39.35123563,0.29167819,7,69,47.28571429,96,0.000239146,0.00074114,0.001710458,0.002695738,0.004252666,0.006348453,0.007143963,0.008871003,0.010073858,0.013654193,1.20E-05
0.1,0.2,1,11,12.85222991,68.61556643,33.97828176,0.218038842,4,57,85.75,285,0.00047541,0.000918245,0.00133558,0.002021642,0.004345147,0.005964685,0.008238957,0.010286274,0.012820305,0.01534162,2.38E-05
0.1,0.2,1,12,14.20599708,118.1698728,51.1356277,0.393751868,5,52,69.6,129,0.000297703,0.000832503,0.002189965,0.003480669,0.005329833,0.005647431,0.006335601,0.010577936,0.01223396,0.012773258,1.57E-05
0.1,0.2,1,13,12.67739615,74.28665469,34.94207829,0.258199329,4,54,86.5,293,0.000343352,0.001174766,0.002030648,0.003842632,0.004264162,0.006184866,0.010216892,0.011010253,0.012039513,0.012953154,1.81E-05
0.1,0.2,1,14,10.96311939,47.740851,25.8062937,0.206185361,1,12,388,388,0.000743501,0.000963598,0.002411667,0.004969913,0.00643015,0.007441025,0.011804175,0.013372952,0.014098881,0.015072479,3.72E-05
0.1,0.2,1,15,10.07824298,35.92112085,19.2404411,0.165337893,1,12,388,388,0.001187037,0.001689827,0.003210849,0.004949317,0.00569346,0.007715017,0.00842002,0.010516216,0.012920196,0.014441645,5.94E-05
0.1,0.2,1,16,13.20248172,104.3089987,41.86789044,0.402316876,4,26,93.5,157,0.000305755,0.001661491,0.003021339,0.004483415,0.008584097,0.009492218,0.01100327,0.011591269,0.014587817,0.016100811,1.53E-05
0.1,0.2,1,17,14.11168459,91.52272014,46.28985364,0.268760123,7,93,43.85714286,220,0.000335179,0.000409802,0.001523385,0.003001691,0.004027049,0.004841256,0.009881422,0.01077426,0.011277559,0.012514754,1.68E-05
0.1,0.2,1,18,11.99924835,60.92834407,30.45577188,0.224107267,1,12,388,388,0.000554666,0.00088023,0.002463839,0.003244807,0.005467566,0.006328507,0.006731118,0.009520101,0.011881177,0.01324256,2.77E-05
0.1,0.2,1,19,11.96883001,74.50654742,32.64916573,0.324171428,3,41,119.6666667,338,0.000505119,0.001333878,0.003217871,0.004286546,0.006285969,0.008397192,0.00905057,0.010533792,0.014287272,0.014955769,2.53E-05
0.1,0.2,1,20,15.19298007,121.2773487,52.43502917,0.317165736,8,104,37,164,0.000199443,0.000697599,0.001151197,0.001866412,0.002796237,0.004615232,0.005105311,0.00861558,0.01113028,0.013749754,9.97E-06
0.1,0.2,1,21,11.99038963,60.02519693,30.3408946,0.220889218,3,33,122.3333333,209,0.000491017,0.001055187,0.001658088,0.003804405,0.004625731,0.006380673,0.007924269,0.010044454,0.011476869,0.013198686,2.46E-05
0.1,0.2,1,22,11.58654985,54.46591883,27.5519253,0.211792872,4,43,89.25,249,0.000618222,0.000988223,0.001540615,0.003595179,0.005744851,0.007274597,0.009689748,0.01019342,0.013212648,0.014532732,3.09E-05
0.1,0.2,1,23,13.90539943,123.7830531,47.1103562,0.451634532,3,31,123,180,0.000281375,0.00221379,0.003038014,0.003430125,0.003998443,0.00500577,0.006031749,0.010250145,0.012025795,0.01390206,1.48E-05
0.1,0.2,2,0,14.27417295,126.7672005,50.67491889,0.434164548,4,91,77.25,154,0.000198443,0.001242615,0.002147023,0.002999438,0.004232835,0.006261125,0.007100933,0.007541254,0.009955623,0.011028241,9.92E-06
0.1,0.2,2,1,13.76502504,107.7713898,42.70125317,0.36376281,3,82,106,189,0.000274904,0.001268127,0.002144544,0.002278318,0.004848534,0.006629132,0.008063427,0.010352059,0.011033594,0.012461073,1.37E-05
0.1,0.2,2,2,14.27943358,130.8306565,51.52720916,0.453767995,5,97,60.6,167,0.000183022,0.001288924,0.003082539,0.00349018,0.004467473,0.007308173,0.009227096,0.010706904,0.011399868,0.012395995,9.15E-06
0.1,0.2,2,3,17.3580591,203.1158167,81.14475281,0.491911519,6,147,42.16666667,130,0.000103565,0.000701337,0.001402381,0.002378931,0.003430469,0.005290459,0.006927662,0.007368886,0.008440373,0.011882082,5.18E-06
0.1,0.2,2,4,16.47121862,180.6918881,67.9430853,0.478148866,6,133,44.5,178,0.000123109,0.000916964,0.001826617,0.003258077,0.00410183,0.004895814,0.006745555,0.00767615,0.011180901,0.011880846,6.16E-06
0.1,0.2,2,5,16.48919774,180.3166904,72.0781883,0.478465988,3,114,95.33333333,193,0.000143916,0.001287364,0.001564253,0.002843903,0.005735705,0.005971348,0.008341705,0.008937465,0.010141727,0.011499683,7.20E-06
0.1,0.2,2,6,12.67665148,76.2816931,34.09053262,0.268649674,4,82,79.5,234,0.000323033,0.001224141,0.001715954,0.002718858,0.004031543,0.004858546,0.006837648,0.007066706,0.010830546,0.012450284,1.62E-05
0.1,0.2,2,7,10.99505476,49.06748211,25.39650499,0.211328601,1,58,342,342,0.00077182,0.001278991,0.001731258,0.003788632,0.005510616,0.007507378,0.008825507,0.009020936,0.009553779,0.009676052,3.86E-05
0.1,0.2,2,8,12.88172597,86.83729232,39.11735493,0.32777124,2,81,159.5,189,0.000292704,0.00091424,0.001985459,0.004257151,0.006670224,0.007385467,0.007722986,0.009692076,0.011315382,0.013164407,1.46E-05
0.1,0.2,2,9,12.28709233,60.08603705,32.35879244,0.206915082,1,58,342,342,0.000706073,0.000749154,0.001892622,0.00280989,0.005116853,0.007282437,0.008288466,0.009998269,0.010892686,0.012357889,3.53E-05
0.1,0.2,2,10,18.61620264,225.229295,98.50612147,0.470826191,7,159,34.42857143,63,0.000109722,0.000589963,0.001016722,0.001953101,0.002946364,0.004825884,0.006852917,0.008864724,0.010155752,0.011555551,5.77E-06
0.1,0.2,2,11,15.69749415,160.4652662,65.51047723,0.466783779,5,124,55.2,178,0.000132855,0.001286009,0.001850085,0.002216916,0.004336629,0.005020879,0.006520499,0.00998549,0.01108426,0.012128054,6.64E-06
0.1,0.2,2,12,14.66117698,137.6861834,54.09302922,0.444368684,3,114,95.33333333,193,0.000159702,0.001459928,0.002318256,0.002631835,0.005477185,0.006796481,0.007090331,0.009759537,0.010700257,0.012409262,7.99E-06
0.1,0.2,2,13,11.46146327,45.88646981,24.37196137,0.160825598,3,63,112.3333333,298,0.000699334,0.001064565,0.002414154,0.003120962,0.00416786,0.004736644,0.008301614,0.009802256,0.011282042,0.012892216,3.50E-05
0.1,0.2,2,14,16.00373559,165.5279023,66.5852321,0.459153576,5,132,53.6,134,0.000132724,0.001238681,0.001332655,0.001802676,0.005113994,0.008655687,0.009212299,0.010215521,0.010803398,0.012790547,6.64E-06
0.1,0.2,2,15,13.91975113,114.2072096,47.96257354,0.393871967,6,100,50,111,0.0001831,0.001316439,0.001960405,0.002686632,0.004045458,0.00480278,0.008020955,0.009739773,0.009895112,0.013182158,9.16E-06
