# DATE: 2022-15-2022  UNITS: lj


WCA
N 1000 R 0.3 1.3

45 0.34404404404404404 1452014.4554831502 50687212.04517049
46 0.345045045045045 1402223.5260543122 48807807.609116085
47 0.34604604604604605 1354276.164378754 47003220.99629138
48 0.34704704704704703 1308099.0825557574 45270270.3668335
49 0.348048048048048 1263622.1050859035 43605917.80317772
50 0.34904904904904904 1220778.0282866322 42007262.41294821
51 0.35005005005005 1179502.4864355659 40471533.78082736
52 0.35105105105105106 1139733.8243016144 38996085.75081563
53 0.35205205205205203 1101412.97574209 37578390.521338485
54 0.353053053053053 1064483.3480609553 36216033.036628045
55 0.35405405405405405 1028890.7118396099 34906705.65873491
56 0.355055055055055 994583.0959667318 33648203.10538809
57 0.35605605605605606 961510.6876081125 32438417.639740467
58 0.35705705705705704 929625.7368710613 31275334.498808034
59 0.358058058058058 898882.465930662 30157027.54813236
60 0.35905905905905905 869236.9823974797 29081655.15088541
61 0.36006006006006 840647.1967176149 28047456.240274396
62 0.36106106106106106 813072.7434069524 27052746.584715344
63 0.36206206206206204 786474.9059316783 26095915.2358162
64 0.363063063063063 760816.5450568247 25175421.149749763
65 0.36406406406406405 736062.0304937632 24289789.973106064
66 0.3650650650650651 712177.1756863013 23437610.984796528
67 0.36606606606606606 689129.1755831544 22617534.186032306
68 0.36706706706706704 666886.5472524129 21828267.530830264
69 0.368068068068068 645419.0732009421 21068574.289902415
70 0.36906906906906906 624697.7472686083 20337270.541166194
71 0.3700700700700701 604694.7229738112 19633222.780472513
72 0.37107107107107107 585383.2641930602 18955345.64648933
73 0.37207207207207205 566737.6980632109 18302599.753998496
74 0.3730730730730731 548733.3700006 17673989.63016769
75 0.37407407407407406 531346.6007365912 17068561.74864484
76 0.3750750750750751 514554.6452740807 16485402.656593751
77 0.37607607607607607 498335.6536742698 15923637.190045103
78 0.37707707707707705 482668.63358750107 15382426.773178548
79 0.3780780780780781 467533.4144462561 14860967.797380578
80 0.37907907907907906 452910.61324244225 14358490.076138452
81 0.3800800800800801 438781.60181493434 13874255.372034593
82 0.3810810810810811 425128.47557700676 13407555.992299901
83 0.38208208208208205 411934.0236167044 12957713.449565867
84 0.3830830830830831 399181.7001065082 12524077.184629206
85 0.38408408408408407 386855.5969617468 12106023.348205913
86 0.3850850850850851 374940.41769015 11702953.638806209
87 0.3860860860860861 363421.45237774326 11314294.194008553
88 0.38708708708708706 352284.5537589355 10939494.532549344
89 0.3880880880880881 341516.1143211687 10578026.544776209
90 0.38908908908908907 331103.04439690284 10229383.529137252
91 0.3900900900900901 321032.7511979471 9893079.272495342
92 0.3910910910910911 311293.11874935613 9568647.172169557
93 0.39209209209209206 301872.4886821096 9255639.397709826
94 0.3930930930930931 292759.6418457618 8953626.090511704
95 0.39409409409409407 283943.7807040955 8662194.599472737
96 0.3950950950950951 275414.5124785604 8380948.75098156
97 0.3960960960960961 267161.8330059533 8109508.151616042
98 0.39709709709709706 259176.11127836796 7847507.522007138
99 0.3980980980980981 251448.07463496993 7594596.060402146
100 0.3990990990990991 243968.7945765638 7350436.834532939
101 0.4001001001001001 236729.6731752882 7114706.200463677
102 0.4011011011011011 229722.43005307176 6887093.247157845
103 0.40210210210210207 222939.0899037057 6667299.2655659765
104 0.4031031031031031 216371.9705345669 6455037.241094367
105 0.4041041041041041 210013.67140513376 6250031.368370545
106 0.4051051051051051 203857.06264049213 6052016.58727397
107 0.4061061061061061 197895.27449904452 5860738.139250783
108 0.40710710710710707 192121.6872745884 5675951.1429788275
109 0.4081081081081081 186529.92161384042 5497420.188494229
110 0.4091091091091091 181113.82923135703 5324918.948933926
111 0.4101101101101101 175867.4840046183 5158229.80908884
112 0.4111111111111111 170785.1734328438 4997143.510001559
113 0.4121121121121121 165861.39044383372 4841458.808878344
114 0.4131131131131131 161090.825533873 4690982.153621035
115 0.4141141141141141 156468.3592263843 4545527.371316728
116 0.4151151151151151 151989.0548356835 4404915.370055041
117 0.4161161161161161 147648.15152279803 4268973.853472528
118 0.4171171171171171 143441.05763089354 4137537.047452115
119 0.4181181181181181 139363.3442884225 4010445.438432669
120 0.4191191191191191 135410.73926863133 3887545.5228092666
121 0.4201201201201201 131579.12109457245 3768689.5669291024
122 0.4211211211211211 127864.51337926005 3653735.3772115204
123 0.4221221221221221 124263.07939105062 3542546.0799420797
124 0.4231231231231231 120771.11683479352 3434989.9103123182
125 0.42412412412412415 117385.05283969379 3330940.010296152
126 0.4251251251251251 114101.43914524268 3230274.2349732514
127 0.4261261261261261 110916.94747694489 3132874.9669275507
128 0.4271271271271271 107828.36510394355 3038628.9383664927
129 0.4281281281281281 104832.5905709767 2947427.060622545
130 0.42912912912912915 101926.62959744902 2859164.2607146623
131 0.43013013013013013 99107.59113669537 2773739.324661482
132 0.4311311311311311 96372.68358883617 2691054.7472528405
133 0.4321321321321321 93719.21116089466 2611016.58799907
134 0.4331331331331331 91144.57036812951 2533534.3329906147
135 0.43413413413413415 88646.24667079531 2458520.7624125853
136 0.43513513513513513 86221.81124079312 2385891.823470457
137 0.4361361361361361 83868.9178529105 2315566.508494118
138 0.4371371371371371 81585.2998955823 2247466.737998113
139 0.4381381381381381 79368.76749631662 2181517.248485821
140 0.43913913913913916 77217.20475713765 2117645.4847948286
141 0.44014014014014013 75128.56709560189 2055781.496790072
142 0.4411411411411411 73100.87868712364 1995857.8402196483
143 0.4421421421421421 71132.2300045352 1937809.4815567643
144 0.4431431431431431 69220.77545097751 1881573.7066590388
145 0.44414414414414416 67364.73108237753 1827090.0330837893
146 0.44514514514514514 65562.37241593497 1774300.1259052972
147 0.4461461461461461 63812.032321182756 1723147.71688664
148 0.4471471471471471 62112.09899033904 1673578.5268654332
149 0.44814814814814813 60461.01398479746 1625540.191218786
150 0.44914914914914916 58857.27035473993 1578982.1882788436
151 0.45015015015015014 57299.410828980945 1533855.770575936
152 0.4511511511511511 55786.02607227071 1490113.8987916252
153 0.45215215215215215 54315.75300740275 1447711.178309239
154 0.45315315315315313 52887.27319958025 1406603.7982542783
155 0.45415415415415417 51499.31130059791 1366749.4729217333
156 0.45515515515515514 50150.63355050402 1328107.3854919823
157 0.4561561561561561 48840.04633449469 1290638.1339409712
158 0.45715715715715716 47566.39479289412 1254303.6790547096
159 0.45815815815815814 46328.56148215288 1219067.2944617155
160 0.45915915915915917 45125.46508488994 1184893.5186010227
161 0.46016016016016015 43956.05916707841 1151748.1085467197
162 0.4611611611611611 42819.33098055586 1119597.995613464
163 0.46216216216216216 41714.300309111466 1088411.2426705945
164 0.46316316316316314 40640.018356477376 1058157.0030956452
165 0.4641641641641642 39595.56667461338 1028805.4813008622
166 0.46516516516516515 38580.05613074431 1000327.8947692831
167 0.46616616616616613 37592.625911669806 972696.4375395742
168 0.46716716716716716 36632.442563924385 945884.2450813646
169 0.46816816816816814 35698.699068425165 919865.3605053355
170 0.4691691691691692 34790.61394829753 894614.7020546207
171 0.47017017017017015 33907.43040862222 870108.0318263602
172 0.47117117117117113 33048.415506896556 846321.9256743483
173 0.47217217217217217 32212.85935305229 823233.7442458385
174 0.4731731731731732 31400.0743379166 800821.60510746
175 0.4741741741741742 30609.394389047946 779064.3559171167
176 0.47517517517517516 29840.17425292059 757941.5486005234
177 0.47617617617617614 29091.7888024726 737433.4144927677
178 0.47717717717717717 28363.632369069837 717520.840406892
179 0.4781781781781782 27655.11809797644 698185.3455930897
180 0.4791791791791792 26965.67732645842 679409.0595536098
181 0.48018018018018016 26294.75898367999 661174.700679887
182 0.48118118118118114 25641.82901158613 643465.5556798002
183 0.4821821821821822 25006.369805996004 626265.4597642828
184 0.4831831831831832 24387.879677162036 609558.7775637616
185 0.4841841841841842 23785.87232907784 593330.3847460911
186 0.48518518518518516 23199.876356847177 577565.6503088452
187 0.48618618618618614 22629.434761451652 562250.4195198885
188 0.4871871871871872 22074.104481280916 547370.9974812384
189 0.4881881881881882 21533.455939813906 532914.1332922352
190 0.4891891891891892 21007.07260886174 518867.0047889735
191 0.49019019019019017 20494.55058680774 505217.2038379395
192 0.49119119119119115 19995.498191300194 491952.7221626459
193 0.4921921921921922 19509.535565873808 479061.9376828945
194 0.4931931931931932 19036.29429999817 466533.6013471789
195 0.4941941941941942 18575.417062066845 454356.82443941815
196 0.49519519519519517 18126.557244863503 442521.0663420798
197 0.49619619619619615 17689.37862305558 431016.1227383671
198 0.4971971971971972 17263.555022284672 419832.1142368902
199 0.4981981981981982 16848.769999439348 408959.4754028943
200 0.4991991991991992 16444.716533710103 398388.94418071373
201 0.5002002002002002 16051.096728042914 388111.55169277
202 0.5012012012012012 15667.62152062176 378118.61240099964
203 0.5022022022022021 15294.010406023572 368401.714617129
204 0.5032032032032032 14929.991165703266 358952.71134877816
205 0.5042042042042042 14575.299607479194 349763.71146887523
206 0.5052052052052052 14229.679313700974 340827.0711963444
207 0.5062062062062062 13892.881397794403 332135.3858765173
208 0.5072072072072071 13564.664268888777 323681.48205015605
209 0.5082082082082082 13244.793404243042 315458.4098004108
210 0.5092092092092092 12933.041129198195 307459.43536746147
211 0.5102102102102102 12629.186404391947 299678.03402095835
212 0.5112112112112112 12333.014619983656 292107.88318081095
213 0.5122122122122121 12044.317396644567 284742.85577718756
214 0.5132132132132132 11762.892393078642 277577.01384097047
215 0.5142142142142142 11488.543119847702 270604.60231624445
216 0.5152152152152152 11221.078759282287 263820.04308670625
217 0.5162162162162163 10960.313991268458 257217.9292082145
218 0.5172172172172171 10706.068824707916 250793.01933998414
219 0.5182182182182182 10458.168434455569 244540.23236720392
220 0.5192192192192192 10216.443003547718 238454.64220817373
221 0.5202202202202202 9980.727570538107 232531.4727992603
222 0.5212212212212213 9750.86188176795 226766.09325127598
223 0.5222222222222221 9526.690248401475 221154.01317110998
224 0.5232232232232232 9308.061408063633 215690.878142649
225 0.5242242242242242 9094.828390924944 210372.46536131142
226 0.5252252252252252 8886.84839008084 205194.67941665553
227 0.5262262262262263 8683.982636081146 200153.5482177975
228 0.5272272272272271 8486.09627546882 195245.2190565351
229 0.5282282282282282 8293.058253192394 190465.95480326808
230 0.5292292292292292 8104.741198762289 185812.13023101457
231 0.5302302302302302 7921.021316024058 181280.22846295516
232 0.5312312312312313 7741.778276428009 176866.83753915288
233 0.5322322322322321 7566.895115677553 172568.6470982259
234 0.5332332332332332 7396.2581336432195 168382.44516991713
235 0.5342342342342342 7229.756797433793 164305.115074669
236 0.5352352352352352 7067.283647518594 160333.63242642322
237 0.5362362362362363 6908.734206800056 156465.06223504193
238 0.5372372372372373 6754.006892538396 152696.55610485503
239 0.5382382382382382 6603.002931033661 149025.34952597064
240 0.5392392392392392 6455.626274974269 145448.75925511998
241 0.5402402402402402 6311.783523363711 141964.18078291308
242 0.5412412412412413 6171.383843940646 138569.08588450632
243 0.5422422422422423 6034.338898010171 135261.02025078383
244 0.5432432432432432 5900.56276760713 132037.6011972661
245 0.5442442442442442 5769.9718849150795 128896.51544805977
246 0.5452452452452452 5642.484963867064 125835.51699225885
247 0.5462462462462463 5518.022933856853 122852.42501030029
248 0.5472472472472473 5396.508875491977 119945.12186787144
249 0.5482482482482482 5277.867958321925 117111.55117504763
250 0.5492492492492492 5162.027380477504 114349.71590842899
251 0.5502502502502502 5048.916310159299 111657.67659411943
252 0.5512512512512513 4938.4658289153995 109033.54954947288
253 0.5522522522522522 4830.6088766505545 106475.50518160305
254 0.5532532532532533 4725.280198310855 103981.76634072463
255 0.5542542542542542 4622.416292190222 101550.60672647032
256 0.5552552552552552 4521.95535980623 99180.34934537961
257 0.5562562562562563 4423.837257295189 96869.36501783477
258 0.5572572572572572 4328.003448277806 94616.0709327737
259 0.5582582582582583 4234.396958148106 92418.92924856153
260 0.5592592592592592 4142.962329740745 90276.44573848089
261 0.5602602602602602 4053.6455803322315 88187.16847932868
262 0.5612612612612613 3966.3941599339933 86149.68658168189
263 0.5622622622622622 3881.156910836235 84162.62896043678
264 0.5632632632632633 3797.8840283627082 82224.66314427005
265 0.5642642642642642 3716.5270227985548 80334.4941227343
266 0.5652652652652652 3637.038682453593 78490.86322972151
267 0.5662662662662663 3559.373037825802 76692.54706209755
268 0.5672672672672672 3483.4853268300203 74938.35643233321
269 0.5682682682682683 3409.3319610584963 73227.13535400706
270 0.5692692692692692 3336.8704930411013 71557.76005909783
271 0.5702702702702702 3266.0595844735662 69929.13804600826
272 0.5712712712712713 3196.8589753838214 68340.2071573159
273 0.5722722722722722 3129.2294542070294 66789.93468626952
274 0.5732732732732733 3063.132828740941 65277.3165110852
275 0.5742742742742742 2998.531897954417 63801.37625613608
276 0.5752752752752752 2935.3904246223756 62361.164479149375
277 0.5762762762762763 2873.6731087617823 60955.75788356609
278 0.5772772772772773 2813.3455618438193 59584.2585552408
279 0.5782782782782783 2754.3742817581888 58245.79322268718
280 0.5792792792792792 2696.726628506542 56939.512540108146
281 0.5802802802802802 2640.3708006024467 55664.590392467595
282 0.5812812812812813 2585.275812156253 54420.223221891465
283 0.5822822822822823 2531.4114706238724 53205.62937470865
284 0.5832832832832833 2478.748355199072 52020.048468463836
285 0.5842842842842842 2427.2577958296997 50862.74077826073
286 0.5852852852852852 2376.9118528387603 49732.98664181239
287 0.5862862862862863 2327.683297131903 48630.085882597734
288 0.5872872872872873 2279.545590973555 47553.357250545196
289 0.5882882882882883 2232.4728693143365 46502.137879679896
290 0.5892892892892893 2186.4399216531515 45475.7827621948
291 0.5902902902902902 2141.4221744177225 44473.66423842046
292 0.5912912912912913 2097.3956738479023 43495.17150218685
293 0.5922922922922923 2054.3370693666598 42539.71012108931
294 0.5932932932932933 2012.223597423967 41606.70157118313
295 0.5942942942942943 1971.0330657994662 40695.58278565192
296 0.5952952952952952 1930.7438383501064 39805.805717006304
297 0.5962962962962963 1891.3348201894007 38936.83691238548
298 0.5972972972972973 1852.785443285469 38088.15710154969
299 0.5982982982982983 1815.0756524652509 37259.26079716189
300 0.5992992992992993 1778.1858918129121 36449.65590697514
301 0.6003003003003002 1742.0970914506152 35658.86335754983
302 0.6013013013013013 1706.7906546903287 34886.41672914058
303 0.6023023023023023 1672.2484455456945 34131.861901403674
304 0.6033033033033033 1638.4527765932387 33394.75670958629
